sj,age,gender,income,hol1,hol2,hol3,hol4,hol_tot,constr1,constr2,IQ,BCIS,BCIS_SC,BCIS_SR
403,19,1,14000.00,3.833333333,4.166666667,5.666666667,5.166666667,4.708333333,4.083333333,5.333333333,97,34,13,21
404,21,1,16000.00,6,3.166666667,5.666666667,4,4.708333333,3.083333333,5.916666667,112,37,13,24
405,21,1,9000.00,5,4,4.166666667,4.833333333,4.5,4.916666667,4.666666667,109,41,16,25
406,22,1,125000.00,6.33,4.83,4.67,5.17,5.25,5.5,4.92,112,42,16,23
407,23,1,200000.00,3,5.333333333,4.5,6.666666667,4.875,5.166666667,4.75,109,42,14,28
408,21,0,8000.00,7,3.5,4.833333333,5.666666667,5.25,4,4.5,102,34,13,21
409,22,0,140000.00,5.5,5.333333333,3.333333333,4.5,4.666666667,5.166666667,5.333333333,99,43,18,25
410,24,1,100000.00,6.666666667,5.333333333,3.833333333,6.333333333,5.541666667,6.416666667,6,92,43,13,30
411,23,0,40000.00,5.833333333,5.666666667,5.833333333,5.833333333,5.791666667,3.833333333,5.5,97,42,14,28
412,20,0,30000.00,5.5,4.166666667,4,4.166666667,4.458333333,4.166666667,4.416666667,102,39,14,25
413,18,1,36000.00,6,4.833333333,5,6.5,5.583333333,4.5,6,94,44,14,30
414,22,0,20000.00,6.333333333,4.5,6.333333333,5.166666667,5.583333333,5.083333333,3.833333333,112,43,18,25
415,24,1,2000.00,6.5,3.5,4.166666667,5.833333333,5,2.916666667,5.166666667,102,45,16,29
416,25,1,60000.00,5.833333333,4.666666667,4.833333333,5.166666667,5.125,5.083333333,4.916666667,109,43,13,30
417,20,1,10000.00,6.5,5.333333333,5.333333333,6.166666667,5.833333333,4.666666667,6,102,42,16,26
418,20,1,80000.00,6.666666667,4.833333333,5.666666667,5.5,5.666666667,5.25,4.666666667,97,48,18,30
420,26,0,20000.00,6,5.833333333,5.166666667,6.666666667,5.916666667,5.833333333,5.166666667,62,41,17,24
421,28,0,84000.00,5.166666667,4.166666667,3.333333333,3.833333333,4.125,4.666666667,4.833333333,91,42,17,25
422,20,1,30000.00,5.833333333,5.833333333,5.333333333,5.166666667,5.541666667,5.583333333,3.916666667,94,41,11,30
423,24,1,10000.00,6,3.333333333,4.5,4.833333333,4.666666667,3.333333333,3.666666667,96,39,16,23
424,24,1,10000.00,4,4.833333333,4.833333333,4.833333333,4.625,4.666666667,4.416666667,97,39,16,23
425,23,1,12000.00,4.666666667,3.666666667,5.5,5.166666667,4.75,5.166666667,3.083333333,96,40,13,27
426,19,1,4800.00,5.5,3.5,5.666666667,5,4.916666667,3.583333333,4.5,92,43,16,27
427,21,0,30000.00,5,1,5,7,4.5,2.25,5.5,118,43,18,25
428,22,0,12000.00,7,3.5,6,5,5.375,5.083333333,5.75,109,48,19,29
429,23,0,30000.00,5,5.333333333,4.166666667,4.666666667,4.791666667,5,4.916666667,109,40,16,24
430,20,1,40000.00,4,3.666666667,5.833333333,4.833333333,4.583333333,5.333333333,3.916666667,94,33,10,23
431,26,1,40000.00,4.666666667,6,4.333333333,4.666666667,4.916666667,4.083333333,4,105,38,16,22
432,23,0,30000.00,5.5,4,4.333333333,5,4.708333333,4.583333333,5.416666667,96,41,20,21
434,20,0,30000.00,5.166666667,4.666666667,4.666666667,5.5,5,5.083333333,4.583333333,86,39,16,23
435,22,1,40000.00,6,4,3.666666667,6,4.916666667,4.25,5.416666667,97,42,17,25
437,4,1,40000.00,7,2.833333333,6,5.333333333,5.291666667,3.666666667,5.416666667,99,42,15,27
438,24,0,40000.00,7,3.666666667,3.5,5.333333333,4.875,6.083333333,4.916666667,109,44,12,32
439,22,1,30000.00,6.5,4.166666667,3.166666667,6.333333333,5.041666667,5.916666667,4,118,44,14,30
440,20,1,60000.00,5.833333333,6.5,5.166666667,5.5,5.75,5.333333333,4.666666667,105,39,17,22
441,23,1,60000.00,6.666666667,5.833333333,4,6.333333333,5.708333333,4.666666667,4.916666667,86,43,14,29
442,24,1,28000.00,7,6,4,6.333333333,5.833333333,6.25,4.5,91,34,11,23
443,24,0,40000.00,6.333333333,5,5,5,5.333333333,4.75,4,89,37,15,22
445,19,1,120000.00,6,3.666666667,4.666666667,4.666666667,4.75,5.083333333,4.5,112,42,12,30
446,22,0,48000.00,5.333333333,5.5,4.666666667,4.666666667,5.041666667,4.416666667,4.666666667,102,39,15,24
447,23,0,20000.00,6.333333333,4.666666667,4,5,5,5.833333333,5.416666667,102,33,13,20
448,26,0,90000.00,6.833333333,5.666666667,4.5,4.166666667,5.291666667,4.5,5.083333333,89,33,13,20
449,19,0,4000.00,5.833333333,4.5,5.166666667,5.666666667,5.291666667,5.25,5.083333333,105,33,10,23
450,20,0,10000.00,5.333333333,5.166666667,4.5,5,5,6.083333333,5,105,42,18,24
451,21,0,18000.00,5,3.833333333,5.166666667,4.666666667,4.666666667,4.75,4.166666667,112,36,12,24
452,25,0,8000.00,4,4.833333333,4.5,4.833333333,4.541666667,4.666666667,4.833333333,86,39,17,22
453,22,0,100000.00,7,3.666666667,5.666666667,4.833333333,5.291666667,4.75,4.5,96,41,16,25
454,25,0,40000.00,6,5.166666667,4.833333333,6.666666667,5.666666667,4.833333333,5.75,96,42,18,24
455,21,0,40000.00,4.666666667,3.5,4.5,5.333333333,4.5,4.583333333,5.166666667,109,42,17,25
456,25,0,10000.00,5,3,2,7,4.25,4,5.5,102,42,21,21
457,22,0,14000.00,4.666666667,2.5,4.666666667,3.833333333,3.916666667,4.416666667,4.25,83,39,11,28
458,20,0,48000.00,6,5.833333333,3.666666667,6,5.375,5.833333333,5.25,84,37,12,25
459,24,0,12000.00,7,4.5,4.666666667,4.5,5.166666667,3.333333333,5.083333333,89,40,16,24
